hotel_id,city,display_name,latitude,longitude,formatted_address,hospitals_count_1km,pharmacies_count_1km,shopping_count_1km,restaurants_count_1km,banks_count_1km,parks_count_1km,fuel_stations_count_2_5km,ev_charging_count_2_5km,entertainment_count_2_5km,transport_hubs_count_2_5km,walkability_score,shopping_score,restaurant_score,bank_score,green_space_score,hospital_score,pharmacy_score,entertainment_score,locality_score
ahm127,Ahmedabad,Hotel Gitanjali,23.0286565,72.5928115,"Bank of india, police station, Relief Rd, near Kalupur, Old City, Zaveriwad, Kalupur, Ahmedabad, Gujarat 380001, India",19,0,0,4,0,1,4,0,0,29,23,0,16,0,20,100,0,0,100
ahm128,Ahmedabad,Hotel Milan,22.987776,72.49462439999999,"sarkhej sanand cross road, near L.J.College, Sarkhej - Gandhinagar Hwy, Makarba, Ahmedabad, Gujarat 382210, India",4,0,0,0,0,0,0,0,0,1,16,0,0,0,0,80,0,0,9
ahm129,Ahmedabad,Hotel Flair Inn,23.0180386,72.5685836,"Abhinav Arcade, Ashram Rd, near Kothawala Flats, Pritam Nagar, Paldi, Ahmedabad, Gujarat 380007, India",31,0,0,4,1,1,7,0,1,22,24,0,16,10,20,100,0,20,97
ahm130,Ahmedabad,"FabHotel Crystal Inn II - Hotels In Paldi, Ahmedabad",23.013992,72.565542,"Ground Floor, 01, Netra Palace, Cross Road, near Udipi Restaurant, Kocharab, Paldi, Ahmedabad, Gujarat 380006, India",42,0,0,3,2,1,7,0,1,15,25,0,12,20,20,100,0,20,75
ahm131,Ahmedabad,Hotel Sunview,23.017996999999998,72.56788780000001,"First Floor, Sharda Shopping Centre, Paldi Rd, opposite Kothawala Flats, Pritam Nagar, Ellisbridge, Ahmedabad, Gujarat 380006, India",35,0,0,4,2,1,7,0,1,22,26,0,16,20,20,100,0,20,97
ahm132,Ahmedabad,Charyana Heights,23.0226801,72.5822676,"Charyana Heights, Mother Teresa Rd, Khambhati Manzil, Dhalgarwad, Bhadra, Ahmedabad, Gujarat 380001, India",7,0,0,11,3,2,7,0,1,35,33,0,44,30,40,100,0,20,100
ahm133,Ahmedabad,HOTEL CG PLAZA,23.027609299999998,72.5591434,"2ND FLOOR B-GALAXY COMPLEX OPP NATIONAL HANDLOOM NEAR GLS COLLAGE CG ROAD, Law Garden Apartment, 1, Netaji Rd, Ellisbridge, Ahmedabad, Gujarat 380006, India",18,0,2,24,3,0,4,0,1,28,49,25,96,30,0,100,0,20,100
ahm134,Ahmedabad,Hotel bhavy villa,23.0378933,72.5622198,"3rd floor asarpota chambers c.g. road, Near, Swastik Cross Rd, Swastik Society, Navrangpura, Ahmedabad, Gujarat 380009, India",40,0,0,16,5,0,2,0,0,31,40,0,64,50,0,100,0,0,100
ahm135,Ahmedabad,Hotel Happy Stay,22.9950358,72.612599,"1st Floor, Dharnidhar Complex, Railway Crossing, Bhairavnath Rd, near Daxini, Maninagar, Ahmedabad, Gujarat 380008, India",52,0,0,0,0,1,1,0,0,10,20,0,0,0,20,100,0,0,42
ahm136,Ahmedabad,Hotel Twilight,23.028316,72.5999205,"Kalupur Railway Station Rd, near Ashirwad Market, opp. Railway Station, Kapasia Bazar, Sakar Bazzar, Kalupur, Ahmedabad, Gujarat 380002, India",14,0,0,2,0,1,3,0,0,26,21,0,8,0,20,100,0,0,95
ahm137,Ahmedabad,"FabExpress Gokul Villa - Hotel in Junavadaj Circle, Ahmedabad",23.055709999999998,72.57256,"1st Floor, Panch Ratna Complex, Juna Vadaj Circle, Ashram Rd, opposite Indian Red Cross Society, Thakor Vas, Old Wadaj, Ahmedabad, Gujarat 380013, India",17,0,0,0,0,0,3,0,1,29,20,0,0,0,0,100,0,20,100
ahm138,Ahmedabad,"Treebo Hotel Prince Plaza, Paldi, Ahmedabad",23.013284,72.56407399999999,"Shri Parshva Orion, 6th Floor, BLOCK-A, Paldi, Ahmedabad, Gujarat 380007, India",50,0,0,4,3,1,6,0,1,13,27,0,16,30,20,100,0,20,69
ahm139,Ahmedabad,Hotel R.J Residency,23.0798198,72.6178529,"Airport, Airport Rd, Sardarnagar, Hansol, Ahmedabad, Gujarat 382475, India",1,0,0,0,2,1,0,0,1,4,7,0,0,20,20,20,0,20,19
ahm140,Ahmedabad,Hotel Swastik Inn,23.037869399999998,72.5585667,"21, 2nd Floor, Samarpan Building, near Sams Pizza, off Swastik Commerce, Swastik Society, Navrangpura, Ahmedabad, Gujarat 380009, India",32,0,0,16,3,0,2,0,0,27,37,0,64,30,0,100,0,0,100
ahm141,Ahmedabad,Hotel O Bridge,23.023465299999998,72.5722091,"Ground Floor, RdNear Town Hall, Ashram Rd, opposite Town Hall, Ellisbridge, Ahmedabad, Gujarat 380006, India",14,0,0,2,2,2,7,0,1,27,24,0,8,20,40,100,0,20,100
ahm142,Ahmedabad,"Treebo Hotel Paradise Near Ellisbridge, Ahmedabad",23.027804399999997,72.56380639999999,"3rd Floor, Devshruti Complex Opposite HCG Hospital, Rasala Marg Mithakhali Circle, Ashram Rd, near Navrangpura, Maharashtra Society, Ellisbridge, Ahmedabad, Gujarat 380006, India",16,0,0,23,3,0,5,0,1,32,42,0,92,30,0,100,0,20,100
ahm143,Ahmedabad,Hotel Shaligram Inn,23.0145341,72.59151279999999,"4th and 5th floor, uptown North Star, C, Block-4, bus stand, opposite Geeta Mandir, Kankaria, Ahmedabad, Gujarat 380022, India",14,0,2,5,2,1,2,0,1,22,33,25,20,20,20,100,0,20,94
ahm144,Ahmedabad,"FabHotel Max Inn - Hotel in Naroda, Ahmedabad",23.0778338,72.6539481,"1st Floor, Himalaya Square, Near Galaxy Cinema, NH-8, Chandresh Society, Makarpura, Naroda, Ahmedabad, Gujarat 382330, India",7,0,0,1,0,1,2,0,1,4,20,0,4,0,20,100,0,20,29
ahm145,Ahmedabad,Hotel Anjani Inn,23.002512,72.618623,"A-Block, 3/4th Floor, Radhe Mall, Khokhra Cir, above Mayur Restaurant, Maninagar East, Khokhra, Ahmedabad, Gujarat 380026, India",14,0,0,0,0,0,1,0,0,11,20,0,0,0,0,100,0,0,43
ahm146,Ahmedabad,Hotel Avenue Lake,23.0439617,72.5295905,"S.F.-C, 2nd Floor, Galaxy Bazaar Complex, opp. Sunrise Park, nr. Gopinath Soc, Vastrapur, Ahmedabad, Gujarat 380015, India",31,0,3,8,2,1,1,0,2,14,38,37,32,20,20,100,0,40,77
ahm147,Ahmedabad,Hotel Shrimad Residency,23.0201258,72.5068734,"26, ISRO Colony Rd, nr. Shalby Hospital, Opposite Karnavati Club, Ramdev Nagar, Ahmedabad, Gujarat 380015, India",4,0,1,10,1,2,2,0,3,1,28,12,40,10,40,80,0,60,39
ahm148,Ahmedabad,"Holiday Inn Express Ahmedabad Prahlad Nagar, an IHG Hotel",23.011493599999998,72.5107074,"1 Besides, Venus Atlantis, Plot No.38, Prahlad Nagar, Ahmedabad, Gujarat 380015, India",6,0,0,6,1,1,2,0,3,3,26,0,24,10,20,100,0,60,38
ahm149,Ahmedabad,"Sarovar Portico, Kalupur-Ahmedabad",23.029620599999998,72.5992855,"Station Road, Kapasia Bazar, Sakar Bazzar, Kalupur, Ahmedabad, Gujarat 380002, India",14,0,0,2,0,1,4,0,0,26,21,0,8,0,20,100,0,0,97
ahm150,Ahmedabad,The Fern Residency Ellisbridge Ahmedabad,23.0220771,72.5674824,"Purshottam Mavlankar Marg, Ellisbridge, Ahmedabad, Gujarat 380006, India",29,0,0,4,0,1,8,0,1,29,23,0,16,0,20,100,0,20,100
