hotel_name,rating,rating_description,review_count,star_rating,location,nearest_landmark,Distance_to_Landmark,Distance_to_Landmark(in_km),price_per_night,tax,city,state,address,price_range,latitude,longitude,amenities,hotel_type,phone_number,email,website,booking_url,description,check_in_time,check_out_time,room_types,data_source,data_quality_score
The Hosteller Bangalore Brigade Road,,,,,Ashok Nagar ,MG Road,2.2 km ,2.2,1330.0,315.0,Bangalore,Karnataka,,,,,,,,,,,,,,,,
Ginger Bangalore (IRR),3.6,Very Good,1639.0,3.0,Domlur Layout,,,,1689.0,,Bangalore,Karnataka,,,,,,,,,,,,,,,,
Gokulam Grand Hotel & Spa,4.1,Very Good,1537.0,5.0,Mathikere,,,,6409.0,1295.0,Bangalore,Karnataka,,,,,,,,,,,,,,,,
Bloom Hotel - Airport Road Bengaluru,4.4,Excellent,191.0,3.0,Near Bangalore Airport ,Kempegowda Airport ,7.7 km ,7.7,4000.0,,Bangalore,Karnataka,,,,,,,,,,,,,,,,
Hotel Ramanashree Richmond Circle,3.8,Very Good,686.0,3.0,Sampangi Rama Nagar ,Cubbon Park,2.1 km ,2.1,2792.0,564.0,Bangalore,Karnataka,,,,,,,,,,,,,,,,
"SRS Suites
Like a 3",4.4,Excellent,20.0,,Koramangala,,,,3178.0,806.0,Bangalore,Karnataka,,,,,,,,,,,,,,,,
JP CORDIAL,3.7,Very Good,1750.0,3.0,Majestic,,,,2726.0,638.0,Bangalore,Karnataka,,,,,,,,,,,,,,,,
Taj Bangalore,4.6,Excellent,1172.0,5.0,Near Bangalore Airport ,Kempegowda Airport ,900 m ,0.9,11750.0,,Bangalore,Karnataka,,,,,,,,,,,,,,,,
Radisson Bengaluru City Center,4.5,Excellent,1283.0,4.0,Ulsoor,,,,7500.0,,Bangalore,Karnataka,,,,,,,,,,,,,,,,
The Pride Hotel Bangalore,3.8,Very Good,1526.0,4.0,Richmond road ,Cubbon Park,2.6 km ,2.6,4599.0,552.0,Bangalore,Karnataka,,,,,,,,,,,,,,,,
BloomSuites | Electronic City,4.1,Very Good,643.0,4.0,Electronic City,,,,5000.0,,Bangalore,Karnataka,,,,,,,,,,,,,,,,
Southern Star Bangalore,3.9,Very Good,1320.0,4.0,Ashok Nagar ,MG Road,910 m ,0.91,3082.0,872.0,Bangalore,Karnataka,,,,,,,,,,,,,,,,
Royal Orchid Central Bangalore,3.7,Very Good,3836.0,4.0,Ulsoor ,MG Road,2.3 km ,2.3,5823.0,699.0,Bangalore,Karnataka,,,,,,,,,,,,,,,,
Shivas Galaxy Hotel,4.1,Very Good,963.0,4.0,Near Bangalore Airport ,Kempegowda Airport ,8.2 km ,8.2,2900.0,604.0,Bangalore,Karnataka,,,,,,,,,,,,,,,,
"The Bouvice
Like a 3",4.2,Very Good,151.0,,Koramangala,,,,2279.0,624.0,Bangalore,Karnataka,,,,,,,,,,,,,,,,
JW Marriott Bengaluru Prestige Golfshire Resort and Spa,4.7,Excellent,100.0,5.0,In Devanhalli ,Bangalore city centre,52.0 km ,52.0,25000.0,,Bangalore,Karnataka,,,,,,,,,,,,,,,,
La Sara Grand (Formerly Known as Nandhana Grand),4.0,Very Good,838.0,3.0,Koramangala,,,,2939.0,752.0,Bangalore,Karnataka,,,,,,,,,,,,,,,,
Zone By The Park Infantry,3.9,Very Good,762.0,5.0,Infantry Road ,MG Road,1.9 km ,1.9,4252.0,1021.0,Bangalore,Karnataka,,,,,,,,,,,,,,,,
The Chancery,3.9,Very Good,2155.0,4.0,Ashok Nagar ,MG Road,980 m ,0.98,4230.0,990.0,Bangalore,Karnataka,,,,,,,,,,,,,,,,
