hotel_id,place_id,display_name,formatted_address
pun075,ChIJfdSYiD_BwjsRSbDa913nILc,Hyatt Regency Pune & Residences,"WEIKFIELD IT CITI INFO PARK, Nagar Rd, Sakore Nagar, Viman Nagar, Pune, Maharashtra 411014, India"
pun076,ChIJGVg4SZvBwjsRN6k8kgWYcsQ,Royal Orchid Golden Suites,"adjacent to Kumar city Marisoft Annexe, Kalyani Nagar, Pune, Maharashtra 411014, India"
pun077,ChIJFVVq8V3AwjsRDAQLV78Kayo,Hotel Kapil Residency Pune Budget hotel near Pune Railway station,"near Sinchan Bhavan, New Mangalwar Peth, Mangalwar Peth, Kasba Peth, Pune, Maharashtra 411011, India"
pun078,ChIJhZlikmS5wjsRf7sLOmB6yBY,Sayaji Hotel Pune,"135/136, Mumbai-Banglore Bypass Highway, Shankar Kalat Nagar, Wakad, Pune, Pimpri-Chinchwad, Maharashtra 411057, India"
pun079,ChIJ-_JoAsbDwjsR4Ap2Q988UUM,Fairfield by Marriott Pune Kharadi,"Mundhwa - Kharadi Rd, Thite Nagar, Kharadi, Pune, Maharashtra 411014, India"
pun080,ChIJVVVV7n-5wjsR9YzLPR1eNlc,Ginger Pune Wakad,"Near, Indira College Rd, Kala Khadak, Wakad, Pune, Pimpri-Chinchwad, Maharashtra 411057, India"
pun081,ChIJ599KqiW_wjsR6n1usWJXcJg,Hotel Green Park,"Hotel Green Park, Baner Rd, Ward No. 8, Someshwarwadi, Pashan, Pune, Maharashtra 411008, India"
pun082,ChIJaSPrz_7AwjsRb8HmZPIJ5TI,Oakwood Residence Naylor Road Pune,"Oakwood, Naylor Rd, off Mangaldas Road, Sangamvadi, Pune, Maharashtra 411001, India"
pun083,ChIJfYcFeXjAwjsRzs8mGyNz8l4,Smart Inn - A Budget Hotel,"1226/2 Shivaji Nagar, Off Fergusson College and, Apte Rd, next to Venus Traders, Ganeshwadi, Deccan Gymkhana, Gymkhaha, Pune, Maharashtra 411004, India"
pun084,ChIJ_UnKGVrAwjsR3oa2tTu81RA,KB'S Woodland,"B J Road Railway Station, Sadhu Vaswani Rd, near Pune, Agarkar Nagar, Pune, Maharashtra 411001, India"
pun085,ChIJcZuNG_fAwjsRucllu0UqEt8,Quality Inn Mint,"Ahead of Ruby Hall Clinic, Balkrishna Sakharam Dhole Patil Rd, next to Themi Grant Nursing Institute, behind Desai House, Sangamvadi, Pune, Maharashtra 411001, India"
pun086,ChIJTfFeh0LAwjsRRB8fbI49QNM,Choice Classic Hotel,"613, Agyari Rd, near Parsi, next to Indian Bank, Anutej Symphony Society, Nana Peth, Rasta Peth, Pune, Maharashtra 411002, India"
pun087,ChIJEV7TYS3BwjsRs6bHgtMlmaI,Hotel Moonlight pune branch,"ABC chowk, Front of Prabhat takies, Bajirao Rd, near Prabhat Talkies, Pate - Sampada, Shaniwar Peth, Pune, Maharashtra 411002, India"
pun088,ChIJ6aJjEFrAwjsRO3jwNsXbAG4,The Fern Residency Woodland Pune,"Sadhu Vaswani Circle, BJ Medical Rd, near PUNE RAILWAY STATION, Agarkar Nagar, Pune, Maharashtra 411001, India"
pun089,ChIJt1eqfdzBwjsRY34JrDg-bTQ,Octave Bund Garden,"361, 5, Bund Garden Rd, Sangamvadi, Pune, Maharashtra 411001, India"
pun090,ChIJB-W7odLBwjsRyT4zhKE9zsU,Itsy Hotels Prince Regency,"2nd floor, Metro station, next to Kataria Hospital, near Yerwada, Nawanagar, Yerwada Village, Yerawada, Pune, Maharashtra 411006, India"
pun091,ChIJ11dyj8C_wjsRcjzJ4RcJVKo,The President Hotel - Banquets - Restaurant & Bar,"34/11, Prabhat Road, no. 8, Off, Lane, Karve Rd, Abhiman Society, Kachare Colony, Deccan Gymkhana, Pune, Maharashtra 411004, India"
pun092,ChIJo6SxtRW9wjsR51PGUq7MA1c,Oxford Golf Resort,"MUMBAI-BANGALORE HIGHWAY, next to CRYSTAL HONDA SHOWROOM, Bavdhan, Pune, Lavale, Maharashtra 411021, India"
pun093,ChIJgyoAzPzAwjsR2ngZc5_dDqU,OSHO International Meditation Resort,"17, 17, 1st Ln, Koregaon Park, Pune, Maharashtra 411001, India"
pun094,ChIJ2dra5Ye_wjsRg8Cg6cWFrdY,The Oakwood,"Good Luck Square, 759/36, Bhandarkar Rd, Deccan Gymkhana, Pune, Maharashtra 411004, India"
pun095,ChIJx2kLoGa5wjsRoBGjQOpu5IE,Hotel TipTop International,"S/No. 153, Wakad Mumbai - Pune expressway, Near, Wakad Rd, Wakadkar Wasti, Hinjawadi, Pune, Pimpri-Chinchwad, Maharashtra 411057, India"
pun096,ChIJq6qqagC5wjsRNdKvr4tlhec,Hotel Ambience Excellency,"Servey No. 208/3, Kalewadi Chowk, Vishnu Dev Nagar, Wakd, Pune, Pimpri-Chinchwad, Maharashtra 411057, India"
pun097,ChIJTegIBRDBwjsRnkpXRt3OBFY,"Magnus Vosiv Suites, Kalyani Nagar","Central Ave, Prathamesh Society, Kalyani Nagar, Pune, Maharashtra 411006, India"
pun098,ChIJJbBM89-7wjsRz9cLoohNxMs,THE ATMOS HOTEL,"S. No. 21, Plot No, 3, 2, Phase I, Hinjawadi Rajiv Gandhi Infotech Park, Hinjawadi, Pune, Pimpri-Chinchwad, Maharashtra 411057, India"
pun099,ChIJF8vW9HvAwjsRghg7BZz8IPE,Hotel Swan Inn Near Shaniwar Wada,"1301, Jangali Maharaj Rd, near Balgandhrav Square, Shivajinagar, Pune, Maharashtra 411005, India"
pun100,ChIJ69mIcebpwjsRsOXYcedawio,Hotel O Suyog Inn,"Pune Saswad Rd, next to SP Infocity, near ICICI bank, Bhekrai Nagar, Pune, Maharashtra 412038, India"
pun101,ChIJ66qq6iLAwjsR2CPZfuVWOro,Vishwakamal Lodge | FAMILY FRIENDLY LODGE AND HOTEL IN PUNE |,"Plot No, 475, Pune - Satara Rd, opposite Paravati Post Office, Adinath Society, Parsanees Colony, Gultekadi, Pune, Maharashtra 411037, India"
pun102,ChIJmxmDwQ_BwjsRavChQS1Ztw4,Living Waters,"Vijay Villa, 212, Nilanjali Society, Kalyani Nagar, Pune, Maharashtra 411006, India"
pun103,ChIJo7EKFFnAwjsRr9vsRTQh6r0,Samrudh Lodge,"Near Railway Station, GVGF+V7R, BJ Medical Road, Agarkar Nagar, Pune, Maharashtra 411001, India"
pun104,ChIJLXjqQXzAwjsR8iii_Nhy-Qk,S.G. LADIES HOSTEL,"4th Floor, Shivalaya Apartment, Jangali Maharaj Rd, above Hotel Panchali, Shivajinagar, Pune, Maharashtra 411005, India"
pun105,ChIJ8ZRX9TvrwjsRZVMViKjhMYM,Hotel anvisha executive,"Bhilarewadi, Pune, Maharashtra 411046, India"
pun106,ChIJUwcF1p_BwjsRsG3aEUerRJQ,Hotel Parag,"327/A, Laxmi Rd, New Nana Peth, Ganesh Peth, Pune, Maharashtra 411002, India"
pun107,ChIJTQDNwMLBwjsRoUiKLpdiG2k,"Magnus Square, Viman Nagar","New Airport Rd, behind Cafe Peter Donuts, Opposite Symbiosis Intl School, Sakore Nagar, Viman Nagar, Pune, Maharashtra 411014, India"
pun108,ChIJVVVVBV3AwjsR6TIpXUOwXCw,Hotel Rajmandir,"433/7/1, Somwar Peth, Behind Zilla Parishad Pune Maharashtra IN 411001, 433, 1, Somwar Peth, Pune, Maharashtra 411001, India"
pun109,ChIJVx_2Q87DwjsRCeHJRig78sI,Housemate Hotels & Restaurant,"Housemate hotel and restaurant, Prince Tower, Samrat Ashok Rd, next to Chandan Marble, Adjucent to Indian oil petrol pump, Tulaja Bhawani Nagar, Kharadi, Pune, Maharashtra 411014, India"
pun110,ChIJRWMIMmnBwjsR3jREvdli7nk,"Hotel Magnus Fortune House, Magarpatta","Fortune house, near Kalyan Jewelers, Magarpatta, Hadapsar, Pune, Maharashtra 411028, India"
pun111,ChIJxxHPsl2VwjsRoNM0xHi4iC4,Popular Hotel Pune best budget lodging,"s no, Parinay Complex, 33, Sinhgad Rd, Manik Baug, Anand Nagar, Pune, Maharashtra 411051, India"
pun112,ChIJ__9PnlnAwjsRYAOcPss7-1c,Agarwal Guest House,"3, Wilson Garden, Opposite Railway Station Near, Pune Station Pune Station, GVGG+P2J, Agarkar Nagar, Pune, Maharashtra 411001, India"
pun113,ChIJFRjLa1_AwjsRPwyBYqvzXVc,Hotel Shivkrupa,"Railway Station, 27, Sasoon Rd, opp. Jehangir Hospital, near Pune, Sangamvadi, Pune, Maharashtra 411001, India"
