Hotel Name,Rating,Rating Description,Reviews,Star Rating,Location,Nearest Landmark,Distance to Landmark,Price,Tax,city,state
Hotel Metro Palace,3.6,Very Good,1167,3,Bandra West ,Band Stand,2.5 km ,"4,064",495,Mumbai,Maharashtra
Hotel Manama,3.5,Very Good,1566,3,South Mumbai ,Gateway Of India Mumbai,2.3 km ,"3,158",747,Mumbai,Maharashtra
Aashiyana Dormitory,3.1,Good,277,,South Mumbai ,Gateway Of India Mumbai,2.4 km ,630,176,Mumbai,Maharashtra
T24 Residency,4,Very Good,2465,4,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,2.0 km ,"4,099",,Mumbai,Maharashtra
"The Taj Mahal Palace, Mumbai",4.7,Excellent,802,5,Colaba ,Gateway Of India Mumbai,280 m ,"27,000",,Mumbai,Maharashtra
The Roa Hotel,3.7,Very Good,1300,3,Ghatkopar West ,T2 - Chhatrapati Shivaji International Airport,5.5 km ,"2,976",608,Mumbai,Maharashtra
Hotel Leafio,3.5,Very Good,1919,3,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,3.1 km ,"2,199",264,Mumbai,Maharashtra
The Byke Delotel,3.8,Very Good,419,3,Borivali West,,,"3,183",903,Mumbai,Maharashtra
The Empresa Hotel,3.8,Very Good,701,4,Andheri West ,T1 - Chhatrapati Shivaji International Airport,7.6 km ,"8,099","1,458",Mumbai,Maharashtra
HOTEL KOHINOOR PARK,3.8,Very Good,592,3,South Mumbai ,Siddhivinayak Temple,480 m ,"3,596","1,118",Mumbai,Maharashtra
The Altruist Business Hotel (Andheri),3.6,Very Good,1257,3,Jogeshwari East ,T1 - Chhatrapati Shivaji International Airport,4.5 km ,"2,763",711,Mumbai,Maharashtra
Hotel Parle International,3.7,Very Good,3158,3,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,1.9 km ,"4,836","1,052",Mumbai,Maharashtra
Ocean Dormitory,3.6,Very Good,67,,Asalpha ,T2 - Chhatrapati Shivaji International Airport,3.7 km ,925,249,Mumbai,Maharashtra
Hotel Beacon T2,3.2,Good,955,4,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,3.9 km ,"3,600",851,Mumbai,Maharashtra
Hotel Columbus,3.6,Very Good,1401,3,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,1.5 km ,"2,608",567,Mumbai,Maharashtra
Sea Green South Hotel,3.9,Very Good,985,3,Churchgate ,Queen's Necklace - Marine Drive,440 m ,"5,583","1,389",Mumbai,Maharashtra
Hotel Suba International,4.3,Excellent,683,4,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,2.0 km ,"6,700",,Mumbai,Maharashtra
Classic Dormitory,3.8,Very Good,123,,Andheri East ,T2 - Chhatrapati Shivaji International Airport,3.5 km ,572,145,Mumbai,Maharashtra
The Resort Mumbai,4.2,Very Good,3937,5,Madh,,,"11,811","3,556",Mumbai,Maharashtra
The Mirador,3.7,Very Good,384,4,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,3.2 km ,"6,750",810,Mumbai,Maharashtra
The Sahil Hotel,4.2,Very Good,1587,4,South Mumbai ,Mumbai Central Bus Terminus,610 m ,"4,650","1,100",Mumbai,Maharashtra
Avion Hotel,3.3,Good,1154,3,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,1.6 km ,"4,205","1,033",Mumbai,Maharashtra
Blossom Dormitory ( For Male and Female),3.6,Very Good,214,,Sakinaka ,T2 - Chhatrapati Shivaji International Airport,3.4 km ,678,189,Mumbai,Maharashtra
Comfort Inn Heritage,3.9,Very Good,963,4,South Mumbai,,,"4,743","1,122",Mumbai,Maharashtra
Hotel Planet Residency,3.8,Very Good,1064,3,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,2.2 km ,"3,726","1,028",Mumbai,Maharashtra
Hotel Kohinoor Elite,4.1,Very Good,2183,4,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,6.1 km ,"7,250",,Mumbai,Maharashtra
Residency Hotel Andheri,4,Very Good,1866,4,Andheri East ,T1 - Chhatrapati Shivaji International Airport,3.2 km ,"4,883","1,155",Mumbai,Maharashtra
