hotel_name,rating,rating_description,review_count,star_rating,location,nearest_landmark,Distance_to_Landmark,Distance_to_Landmark(in_km),price_per_night,tax,city,state
Shivas Galaxy Hotel,4.1,Very Good,963,4,Near Bangalore Airport ,Kempegowda Airport ,8.2 km ,8.2,2900,604,Bangalore,Karnataka
"The Bouvice
Like a 3",4.2,Very Good,151,,Koramangala,,,,2279,624,Bangalore,Karnataka
JW Marriott Bengaluru Prestige Golfshire Resort and Spa,4.7,Excellent,100,5,In Devanhalli ,Bangalore city centre,52.0 km ,52,25000,,Bangalore,Karnataka
La Sara Grand (Formerly Known as Nandhana Grand),4,Very Good,838,3,Koramangala,,,,2939,752,Bangalore,Karnataka
Zone By The Park Infantry,3.9,Very Good,762,5,Infantry Road ,MG Road,1.9 km ,1.9,4252,1021,Bangalore,Karnataka
The Chancery,3.9,Very Good,2155,4,Ashok Nagar ,MG Road,980 m ,0.98,4230,990,Bangalore,Karnataka
Nash Inn Electronic City,3.1,Good,321,,Electronic City,,,,979,268,Bangalore,Karnataka
Radisson Blu Bengaluru Outer Ring Road,4.2,Very Good,1159,5,Outer Ring Road,,,,8000,,Bangalore,Karnataka
"Ginger Bangalore, Whitefield",3.7,Very Good,1198,3,Brookefield,,,,1884,,Bangalore,Karnataka
Hotel Royal Orchid Bangalore,3.9,Very Good,2185,5,Domlur Layout,,,,7268,872,Bangalore,Karnataka
"The Hosteller Bangalore, Koramangala",4.3,Excellent,13,,Koramangala,,,,1295,294,Bangalore,Karnataka
Silicon City Hotel,3.4,Good,695,4,Hosur road,,,,1586,418,Bangalore,Karnataka
Country Inn And Suites By Radisson Bengaluru Hebbal,3.8,Very Good,1928,4,Hebbal,,,,3500,,Bangalore,Karnataka
Octave Himalaya Monarch,4,Very Good,2624,3,Gandhi Nagar,,,,1645,333,Bangalore,Karnataka
Greenpark Bengaluru,4.7,Excellent,62,4,Bannerghatta Main road,,,,6345,1350,Bangalore,Karnataka
ITC Gardenia - A Luxury Collection Hotel,4.5,Excellent,1389,5,Ashok Nagar ,MG Road,2.1 km ,2.1,11700,,Bangalore,Karnataka
The Continentti Whitefield,4,Very Good,1189,3,Brookefield,,,,2791,564,Bangalore,Karnataka
The Monarch Luxur,3.9,Very Good,775,4,Infantry Road ,MG Road,1.6 km ,1.6,3723,752,Bangalore,Karnataka
Ballal Residency,3.9,Very Good,875,3,Residency Road ,MG Road,2.3 km ,2.3,3084,836,Bangalore,Karnataka
Hibernest Indiranagar,4.2,Very Good,142,,Indiranagar,,,,1005,325,Bangalore,Karnataka
Fortune Park JP Celestial-Member ITC Hotel Group,3.8,Very Good,1876,4,Gandhi Nagar,,,,5292,,Bangalore,Karnataka
"Click Hotel Bangalore, International Airport",4.2,Very Good,438,3,Near Bangalore Airport ,Kempegowda Airport ,8.0 km ,8,3510,421,Bangalore,Karnataka
Omatra Hotel HSR,3.4,Good,91,,Outer Ring Road,,,,2194,539,Bangalore,Karnataka
Svenska Design Hotel,3.3,Good,627,,Electronic City,,,,1999,642,Bangalore,Karnataka
Peninsula Suites,3.9,Very Good,1341,4,Whitefield,,,,2264,306,Bangalore,Karnataka
Iris Hotel & Spa Bangalore,4.1,Very Good,1016,4,Residency Road ,MG Road,2.1 km ,2.1,5330,1247,Bangalore,Karnataka
SM Royal Stay Hotel near Intl Airport Bangalore,4.2,Very Good,47,3,Near Bangalore Airport ,Kempegowda Airport ,5.0 km ,5,1692,360,Bangalore,Karnataka
"Halcyon Residences
Like a 3",3.8,Very Good,613,,Koramangala,,,,2759,755,Bangalore,Karnataka
Shangri-La Bengaluru,4.5,Excellent,584,5,Palace road ,Bangalore Palace,1.9 km ,1.9,13500,,Bangalore,Karnataka
The Leela Bhartiya City Bengaluru,4.6,Excellent,213,5,Tirumanahalli,,,,11000,,Bangalore,Karnataka
"Holiday Inn Express & Suites, OMR Bengaluru",4.1,Very Good,526,4,Whitefield,,,,3999,,Bangalore,Karnataka
Fairfield By Marriott Bengaluru Rajajinagar,3.9,Very Good,883,4,Rajajinagar,,,,5400,,Bangalore,Karnataka
The Zuri Whitefield,4.3,Excellent,662,5,Whitefield,,,,6501,780,Bangalore,Karnataka
MAYBAACH HOTELS,4.1,Very Good,79,3,Marathahalli,,,,2820,660,Bangalore,Karnataka
Regenta Place Bangalore by Royal Orchid Hotels Limited,3.5,Very Good,923,4,Shivaji Nagar ,MG Road,2.2 km ,2.2,2848,342,Bangalore,Karnataka
Icon Business Hotel by Bhagini,3.6,Very Good,1024,3,HAL old airport road,,,,2300,465,Bangalore,Karnataka
Sterlings Mac Hotel & Suites,4.1,Very Good,732,5,HAL old airport road,,,,6768,1368,Bangalore,Karnataka
Nexstay Kites Inn,4.3,Excellent,36,3,Hosur road,,,,2799,,Bangalore,Karnataka
The Leela Palace Bengaluru,4.5,Excellent,1048,5,HAL old airport road,,,,16500,,Bangalore,Karnataka
Omatra Infantry Road | Rooms in a Homestay,3.8,Very Good,319,,Infantry Road ,MG Road,1.4 km ,1.4,2098,554,Bangalore,Karnataka
Bloom Hotel HSR Layout Sector 3,3.9,Very Good,24,3,HSR Layout,,,,5500,,Bangalore,Karnataka
NOOR EMPIRE INTERNATIONAL,3.7,Very Good,1552,3,Koramangala,,,,2776,752,Bangalore,Karnataka
Attide Biz,3.5,Very Good,468,3,Hebbal,,,,2835,693,Bangalore,Karnataka
Stayhome Classic,4.3,Excellent,285,,Bilekahalli,,,,2345,642,Bangalore,Karnataka
DoubleTree Suites by Hilton,4.3,Excellent,849,5,Outer Ring Road,,,,9500,,Bangalore,Karnataka
Bloomrooms @ Indiranagar,4.1,Very Good,874,3,Indiranagar,,,,4300,,Bangalore,Karnataka
RG Royal Hotel,4.2,Very Good,875,4,Yeshwanthpur,,,,3666,741,Bangalore,Karnataka
Four Seasons Hotel Bengaluru at Embassy One,4.8,Excellent,302,5,Ganganagar ,Palace Grounds,990 m ,0.99,14875,,Bangalore,Karnataka
Ramee Strand inn,3,Good,348,3,Hosur road,,,,1505,396,Bangalore,Karnataka
Shravanthi Sarovar Portico JP Nagar,3.6,Very Good,139,4,Outer Ring Road,,,,3977,804,Bangalore,Karnataka
"Vivanta Bengaluru, Whitefield",4.3,Excellent,959,5,Whitefield,,,,7500,,Bangalore,Karnataka
"Melange Astris
Like a 3",4.1,Very Good,1006,,Richmond road ,Cubbon Park,2.5 km ,2.5,4300,969,Bangalore,Karnataka
Octave Church Inn,3.5,Very Good,712,3,Church Street ,MG Road,94 m ,0.094,1669,337,Bangalore,Karnataka
Mastiff Infantry Bengaluru,4,Very Good,221,3,Infantry Road ,MG Road,1.8 km ,1.8,1865,569,Bangalore,Karnataka
"Taj Club House, Chennai",4.3,Excellent,2000,5,Royapettah,,,,6390,767,Chennai,Tamil Nadu
The Park Chennai,3.7,Very Good,8366,5,Near US Consulate,,,,7198,2167,Chennai,Tamil Nadu
