hotel_id,place_id,display_name,formatted_address
ben063,ChIJLXD3dvATrjsRGejGXEDnD4U,"Radisson Blu Hotel, Bengaluru Outer Ring Road","90/4, Outer Ring Rd, Marathahalli Village, Marathahalli, Bengaluru, Karnataka 560037, India"
ben064,ChIJsbMTaYQWrjsRVxGI79pQCbY,Royal Orchid Central Bengaluru,"47, Manipal Centre, 1, Dickenson Rd, Yellappa Garden, Yellappa Chetty Layout, Sivanchetti Gardens, Bengaluru, Karnataka 560042, India"
ben065,ChIJ0xbyLN12AjoR8oTQ7QgMPlI,"ITC Gardenia, a Luxury Collection Hotel, Bengaluru","1, Residency Rd, Ashok Nagar, Bengaluru, Karnataka 560025, India"
ben066,ChIJQ_bMnw4WrjsRji29_auRFEo,Bangalore Gate Hotel & Conferences,"Gajanana Towers, 9 & 12, Kempegowda Rd, opposite Menaka Theater, near Mysore Bank Circle, Anchepet, Chickpet, Bengaluru, Karnataka 560009, India"
ben067,ChIJ10zX9AkWrjsRqIM_W10CeXA,The Signature Inn,"479, Old Taluk Cutchery Rd, near Mastaan Dargah, Upparpete, Cottonpete, Bengaluru, Karnataka 560053, India"
ben068,ChIJK7Bvm14UrjsR4hHmdM0DCzI,Grand Mercure Bangalore,"12th Main Rd, 3rd Block, Koramangala 3 Block, Koramangala, Bengaluru, Karnataka 560034, India"
ben069,ChIJ-TIWXR8TrjsR8ATbIIcglgQ,BLR PODS,"1, ITPL Main Rd, AECS Layout, Brookefield, Bengaluru 115/6 Plot, no 2, 4th Floor, Kundalahalli, Brookefield, Bengaluru, Karnataka 560037, India"
ben070,ChIJx154PW0WrjsREG4GX2L3FuI,"Radisson Blu Hotel, Atria Bengaluru","1, Palace Rd, Ambedkar Veedhi, Bengaluru, Karnataka 560001, India"
ben071,ChIJc7idFdUVrjsRhfSovBgFLeg,The Pride Hotel Bangalore,"93, Richmond Rd, Langford Gardens, Bengaluru, Karnataka 560025, India"
ben072,ChIJJTNX6SsVrjsREHvk6ug2FPI,Hotel Greenpark Bengaluru,"No 75 & 172, Bannerghatta Rd, Dollar Layout, BTM 2nd Stage, J. P. Nagar, Bengaluru, Karnataka 560076, India"
ben073,ChIJA4jxFg0WrjsR5sfp5nDG6ZM,Shangri-La Bengaluru,"No. 56, 6B, Palace Rd, Abshot Layout, Vasanth Nagar, Bengaluru, Karnataka 560001, India"
ben074,ChIJudJQMv0crjsR2LjAmEcjHg8,Taj Bangalore,"Main Road, opposite Kempegowda International Airport Bengaluru, Gangamuthanahalli, Bengaluru, Karnataka 560300, India"
ben075,ChIJY9haw6YTrjsRUfVCX5Nsl8k,Novotel Bengaluru Outer Ring Road,"ECOSPACE BUSINESS PARK, Marathahalli - Sarjapur Outer Ring Rd, opp. RMZ, Kariyammana Agrahara, Bellandur, Bengaluru, Karnataka 560103, India"
ben076,ChIJyeTyCooRrjsRH9Da-61CKZQ,"Lemon Tree Hotel, Whitefield, Bangalore","Plot No. 23, Whitefield Road, EPIP Zone, Brookefield, Bengaluru, Karnataka 560066, India"
ben077,ChIJ3x8lEIIWrjsRRpMviqXYbcY,"Welcomhotel by ITC Hotels, Richmond Road, Bengaluru- LEED® Platinum and Zero Carbon Certified Hotel in the Heart of Bengaluru","46, Richmond Rd, Ashok Nagar, Bengaluru, Karnataka 560025, India"
ben078,ChIJSWBhxHkWrjsRK6iI2w8G5yE,JW Marriott Hotel Bengaluru,"24/1, Vittal Mallya Rd, KG Halli, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001, India"
ben079,ChIJOQJweWUWrjsRufXPfw4VO6Q,Lemon Tree Premier Ulsoor Lake Bengaluru,"2/1, St Johns Rd, Halasuru, Hermit Colony, Sivanchetti Gardens, Bengaluru, Karnataka 560042, India"
ben080,ChIJ6_I8ttcVrjsRGyyh7liae48,The Chancery Pavilion,"135, Residency Rd, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560025, India"
ben081,ChIJqZ1phpwWrjsRd_5AkYsgR5Y,Hyatt Centric MG Road Bangalore,"1/1, Swami Vivekananda Road, Mahatma Gandhi Rd, Halasuru, Someshwarpura, Bengaluru, Karnataka 560008, India"
ben082,ChIJH8glMXcWrjsRaiawcd2tcsY,Four Seasons Hotel Bengaluru at Embassy ONE,"8, Bellary Rd, Dena Bank Colony, Ganganagar, Bengaluru, Karnataka 560032, India"
ben083,ChIJSdBhtfU9rjsRhx_JoIH4qJ0,Fairfield by Marriott Bengaluru Rajajinagar,"59th C Cross, 4th M Block, Manjunath Nagar, Rajajinagar, Bengaluru, Karnataka 560010, India"
