hotel_id,city,display_name,latitude,longitude,formatted_address,hospitals_count_1km,pharmacies_count_1km,shopping_count_1km,restaurants_count_1km,banks_count_1km,parks_count_1km,fuel_stations_count_2_5km,ev_charging_count_2_5km,entertainment_count_2_5km,transport_hubs_count_2_5km,walkability_score,shopping_score,restaurant_score,bank_score,green_space_score,hospital_score,pharmacy_score,entertainment_score,locality_score
del060,Delhi,Hotel Woodland Deluxe,28.646783600000003,77.21263019999999,"8235, 6, Arakashan Rd, Multani Dhanda, Paharganj, New Delhi, Delhi 110055, India",9,3,3,65,20,0,15,17,9,78,71,37,100,100,0,100,37,100,100
del061,Delhi,Hotel Ajanta - Free Airport Pick Up Service,28.645764399999997,77.2159437,"8647, Arakashan Rd, Ram Nagar, Paharganj, New Delhi, Delhi 110055, India",8,4,3,61,17,0,16,17,8,80,74,37,100,100,0,100,50,100,100
del062,Delhi,The Grand Uddhav,28.640143499999997,77.2132438,"4953-54, Ramdwara Rd, Bagichi Ramchander, Nehru Bazar, Paharganj, New Delhi, Delhi 110055, India",11,8,3,136,62,0,13,18,10,70,84,37,100,100,0,100,100,100,100
del063,Delhi,Hyatt Regency Delhi,28.569412099999997,77.18490280000002,"Ring Rd, Bhikaji Cama Place, Rama Krishna Puram, New Delhi, Delhi 110066, India",7,1,2,8,9,0,17,6,4,54,48,25,32,90,0,100,12,80,100
del064,Delhi,Hotel Horizon By Shanti,28.6449513,77.2158353,"8688-8689, Arakashan Rd, near St. Anthony School, Arya Nagar, Paharganj, New Delhi, Delhi 110055, India",9,4,3,68,18,0,15,17,9,83,74,37,100,100,0,100,50,100,100
del065,Delhi,Hotel Waterfall Paschim Vihar New delhi,28.667595,77.093075,"A-3, Outer Ring Rd, Shubham Enclave, Main, Paschim Vihar, New Delhi, Delhi, 110063, India",6,0,0,1,0,0,5,0,0,20,20,0,4,0,0,100,0,0,78
del066,Delhi,Hotel Hari Piorko,28.641083499999997,77.2139789,"4775 Main Bazar, Tooti Chowk, near 6, Bazar Sangatrashan, Bagichi Ramchander, Aram Bagh, Paharganj, New Delhi, Delhi 110055, India",11,8,3,109,46,0,14,18,10,68,84,37,100,100,0,100,100,100,100
del067,Delhi,Hotel White Saffron By F9 Hotels,28.701565000000002,77.1398677,"182, Vaishali, Dakshini Pitampura, Pitampura, New Delhi, Delhi, 110034, India",4,1,2,2,1,0,5,0,3,19,27,25,8,10,0,80,12,60,91
del068,Delhi,Roseate House,28.5509536,77.120589,"Asset 10, Northern Access Rd, Aerocity, Hospitality District, Indira Gandhi International Airport, New Delhi, Delhi 110037, India",2,1,2,14,7,0,7,0,0,10,38,25,56,70,0,40,12,0,71
del069,Delhi,Jyoti Mahal A Royal Heritage Hotel - 10 Mins from New Delhi Railway station & 2Mins From Metro.,28.642041,77.2117176,"2488 - 90, Nalwa Street Aram Bagh, Bazar Sangatrashan, Chuna Mandi, Paharganj, New Delhi, Delhi 110055, India",13,5,3,66,20,0,15,17,9,70,76,37,100,100,0,100,62,100,100
