hotel_id,place_id,display_name,formatted_address
hyd121,ChIJUf-Ayk2byzsR36-zuc2k2ic,Treebo Premium Seven Lake View,"5-4-187/5 15 To 17, PV Narasimha Rao Marg, Karbala Maidan, Rani Gunj, Secunderabad, Hyderabad, Telangana 500003, India"
hyd122,ChIJkxC2oq6XyzsRF5BwcocKVII,"Treebo Address Inn, Banjara Hills","Door No.13, 8-2-676/1, C/A, Rd Number 13, opp. Cafe Graffiti, Sri Ram Nagar Colony, Banjara Hills, Hyderabad, Telangana 500034, India"
hyd123,ChIJFS1krnWRyzsRLiHHC9ZMGPI,Hotel Lotus Grand,"H.No: 8, Pillar No: 1071, 3-945/A/6/1, Ameerpet Rd, Nagarjuna Nagar colony, Yella Reddy Guda, Hyderabad, Telangana 500016, India"
hyd124,ChIJU69MlsabyzsRkDUqWAitNIY,Townhouse Raniganj formerly Devi Residency,"4-2-263, Old Bhoiguda, Rani Gunj, Hyderabad, Secunderabad, Telangana 500003, India"
hyd125,ChIJz0C5tJWRyzsRFd1Yuadt6Qg,Hotel Park Heights,"8-2-326, A/2, Banjara Hills Rd Number 3, Green Valley, Banjara Hills, Hyderabad, Telangana 500034, India"
hyd126,ChIJLxghd0uXyzsRB57BPEltabE,Vrindavan Comfort Inn,"Shankar Rd, Sangeet Nagar, Somajiguda, Hyderabad, Telangana 500082, India"
hyd127,ChIJZct519yZyzsRMvR_ho67AKs,Hotel Grand Himayat,"Hotel Grand Himayat Plot No. 3-6-552 to 558 &558/1, MPM Millenium Wajhuddin Estate, opp. Minerva, Himayatnagar, Hyderabad, Telangana 500029, India"
hyd128,ChIJ06YzpN6RyzsRUJMrhetTfHA,RESTEL STUDIO FLATS,"1-65/43/119 &120, Kakateeya Hills Rd 9, Cyber Hills Colony, SOCIETY, Madhapur, Hyderabad, Telangana 500081, India"
hyd129,ChIJc35O9tOZyzsRzPZNhMmdCmE,Aditya Park Sarovar Portico Hyderabad,"Aditya Trade Center, Satyam Theatre Rd, opp. Aster Prime Hospital, Kumar Basti, Ameerpet, Hyderabad, Telangana 500038, India"
hyd130,ChIJN4gO3MK9yzsRCHQV8CEdSww,Oak By Signature Group,"New International airport road, 10-231, Shamshabad Rd, opposite Rajiv Gandhi bus stand, Shamshabad, Hyderabad, Telangana 501218, India"
hyd131,ChIJIwT6TsiQyzsRk2qYSnzl_9o,OYO Athithi Inn Near Hyderabad Central,"7159, 9/A/3, Dharam Karan Rd, Divyashakti Appartments, Ameerpet, Hyderabad, Telangana 500016, India"
hyd132,ChIJGaBtReqZyzsR4ZlkZCYRLPU,Hotel Imperial Classic,"RTC Cross Road, 1-8-525, Chikkadpalli Rd, beside Airtel Showroom, Jawahar Nagar, Chikkadpally, New Nallakunta, Hyderabad, Telangana 500020, India"
hyd133,ChIJYYlhAQCRyzsRQj3jBVzDXqY,Hotel N,"1-92/1/24/2/2, Plot no- 2 & 3, Bhuvaneswari Society, HITEC City, Khanammet, Hyderabad, Telangana 500081, India"
hyd134,ChIJmfzlj16XyzsRRhcz36bj2yk,Anmol Continental,"5-9-20/A, Saifabad, Khairtabad, Hyderabad, Telangana 500081, India"
hyd135,ChIJz5QdBG2byzsR7OfB95z2HAE,Hotel Asrani International,"1 - 7, 179, Mahatma Gandhi Rd, Bhaskar Residency, Nallagutta, Ramgopalpet, Secunderabad, Hyderabad, Telangana 500003, India"
hyd136,ChIJVSpAKZ2TyzsRqBgMnyQWU30,Treebo Pride Inn Botanica,"Anjaiah Nagar, Gachibowli, Hyderabad, Telangana 500081, India"
hyd137,ChIJTze-tfWRyzsRL3a8IbFLOLY,Hotel Silver Clé,"Plot 6 & 8 Vittal Rao Nagar Gafoor Nagar, Vittal Rao Nagar, Madhapur, Hyderabad, Gafoornagar, Telangana 500081, India"
hyd138,ChIJTW7AfGeRyzsRlTXT1Xtgx-w,The Balcony Hotel,"Plot No-27, D.No: 2-56/D/27, Ayyappa Society, Siddhi Vinayak Nagar, Madhapur, Hyderabad, Telangana 500081, India"
hyd139,ChIJL5nYCRuayzsR2q7_UKUecS4,Hotel Maya Deluxe,"61/A, Mahatma Gandhi Rd, opposite Punjab National Bank, Pan Bazar, Old Gudi, Old Bhoiguda, Rani Gunj, Secunderabad, Telangana 500003, India"
hyd140,ChIJx63vcZSTyzsRnGfMLZ4uqV8,Westside Hotel Hyderabad,"Street 3,, Plot Number 95, Patrika Nagar Rd Number 3, HUDA Techno Enclave, HITEC City, Hyderabad, Telangana 500081, India"
hyd141,ChIJ-2pvNwiayzsRkot_cUKrP6E,"FabHotel Hill View HYD - Hotel in Begumpet, Hyderabad","Patigadda, Begumpet, Hyderabad, Telangana 500003, India"
hyd142,ChIJn3Z4yXqXyzsRriwoMkLfsYg,FabHotel Arastu Plaza,"11-2-9, Dargah Yousufain Rd, Nampally Market, Bazar Ghat, Nampally, Hyderabad, Telangana 500001, India"
hyd143,ChIJ1WBLDCCRyzsRQyWEzBFDNAo,"FabExpress Broholic Suites - Hotel Near JNTU, Hyderabad","Plot No 38&39, 2-22105/BC, 2, Pipe Line Road, Vijaya Nagar Colony, Kukatpally, Hyderabad, Telangana 500072, India"
hyd144,ChIJicorvbWTyzsREtUbSH3GhxE,Hotel O Jv Colony Near Gachibowli,"2-30, jv/2, beside Kendriya Vihar Phase 2, JV Colony, Rajiv gandhi Nagar, Gachibowli, Hyderabad, Telangana 500032, India"
hyd145,ChIJ3zlHnfqTyzsRFMRm2gqqv3k,Bloom Hotel - Gachibowli,"SY No. 6/1, Quiet Lands Gachibowli, B2, Old Mumbai Hwy, Rajiv gandhi Nagar, Gachibowli, Serilingampalle (M), Hyderabad, Telangana 500032, India"
hyd146,ChIJ2WS5XMmQyzsRzQ6rO7kHhco,Hotel Sitara Paradise - Ameerpet,"6-3-788/34, NH 65, opposite Lane Of Chandana Brothers, Punjagutta Officers Colony, Ameerpet, Hyderabad, Telangana 500016, India"
hyd147,ChIJyxBof1KTyzsRbDi6Gh5gts0,"Hotel Ceasta, Beside US Consulate, Gachibowli","Sai Tulsi Enclave, Plot No-6, beside US Consulate Road, Vattinagulapally, Nanakramguda, Hyderabad, Telangana 500075, India"
hyd148,ChIJq5p4rqaQyzsRLQSQHHo8K50,"Hotel Greenpark, Hyderabad","Begumpet Rd, Leelanagar, Begumpet, Hyderabad, Telangana 500016, India"
hyd149,ChIJte9N_-yRyzsRpYlbvgbcvus,Zibe Hyderabad by GRT Hotels,"sri sai krishna apartments, 03, Bhagya Nagar Colony Rd, Hmt Sathavahana Nagar, Kukatpally, Hyderabad, Telangana 500072, India"
hyd150,ChIJBTllCEOXyzsRxRrGquBU-E4,Treebo The Living Tree Khairatabad,"6-2-935/1, metro station khaiaratabad, Kammari Krishna St, near khairatabad, Khairtabad, Hyderabad, Telangana 500004, India"
