hotel_id,place_id,display_name,formatted_address
kol047,ChIJu_yNYw93AjoRQsqTV_lU0QU,Collection O Aafreen Tower Near St. Thomas's Church,"9/a, K Y D Street, Esplanade, Taltala, Kolkata, West Bengal 700016, India"
kol048,ChIJR9RIiN92AjoRJErFKvuZEXg,Super Collection O Karaya Road Formerly Hotel New Diamond,"17A, Karaya Rd, next to Bangladesh High Commission, Elgin, Kolkata, West Bengal 700017, India"
kol049,ChIJJ1sHOjt2AjoRIcvEy0NYr9Y,Calcutta Bungalow,"5, Radha Kanta Jew St, Fariapukur, Shyam Bazar, Kolkata, West Bengal 700004, India"
kol050,ChIJe6yzIVN2AjoReyHHivr2nw8,Hotel Afsha,"22, Marquis St, New Market Area, Janbazar, Taltala, Kolkata, West Bengal 700016, India"
kol051,ChIJtSYjNk51AjoRN1zS7jVFQwQ,Pride Plaza Hotel,"Service Rd, opposite to novotel, BG Block(Newtown), Action Area I, Newtown, New Town, West Bengal 700163, India"
kol052,ChIJDYn7cgZ3AjoR-JoPz4VrdNY,Astoria Hotel - Kolkata,"6/2, Sudder St, opposite Fire Brigade Head Quarter, Fire Brigade Head Quarter, New Market Area, Dharmatala, Taltala, Kolkata, West Bengal 700087, India"
kol053,ChIJx8Rdj9Gf-DkRNpV8CflDiAA,Pipal Tree Hotel,"AS/464, Major Arterial Road(South-East, Noapara, Hatiara, Newtown, Kolkata, West Bengal 700157, India"
kol054,ChIJmV-po_x1AjoR2FjvoxAWR1A,Transitel - A Boutique Hotel,"173/4/5, VIP Rd, Ramkrishna Pally, Kaikhali, Kolkata, West Bengal 700052, India"
kol055,ChIJNbc4rv12AjoRht2ncex8eHQ,Hotel Casa Fortuna,"234/1, AJC Bose Road, Elgin Rd, near Camac Street, Minto Park, Bhowanipore, Kolkata, West Bengal 700020, India"
kol056,ChIJxVLlZhh3AjoRg95iUsjVPT8,Hotel Hindusthan International,"235/1, Acharya Jagdish Chandra Bose Rd, Sreepally, Bhowanipore, Kolkata, West Bengal 700020, India"
kol057,ChIJ8y3Y1hh2AjoRSBf48wr9J4s,Super Collection O Belgacihia Near Kolkata Railway Station formerly Beeu Guest House.,"H/34, 83/A, Khudiram Bose Sarani, opposite Belgachia Tram Depot, Belgachia, Kolkata, West Bengal 700037, India"
kol058,ChIJcfpfd_p2AjoRgA-oL6x9-50,Hotel Executive Tower,"52, CIT Rd, Entally, Kolkata, West Bengal 700014, India"
kol059,ChIJbQPXaP93AjoRhDqFRIwYQGI,Hotel Angina,"7/1, Marquis St, Esplanade, Taltala, Kolkata, West Bengal 700016, India"
kol060,ChIJ9bYUEj93AjoRcS7dWNybvuo,Hotel Esteem,"6A, Sushil Sen Rd, Opp- Police hospital/Home land mall, Bhowanipore, Kolkata, West Bengal 700025, India"
kol061,ChIJ41j5qYp3AjoRxz7kqwHn4T4,Hotel Aria,"5th Floor, Eastern Plaza, Mahatma Gandhi Rd, Central Avenue, Bara Bazar, Machuabazar, Kolkata, West Bengal 700073, India"
kol062,ChIJBaqlYLF3AjoRsC3zrDTcqPM,Hotel Rituraj,"6, Madan Mohan Burman St, near Machua Fruit Whole Sale Market, Raja Katra, Machuabazar, Kolkata, West Bengal 700007, India"
kol063,ChIJpd-Q_7N3AjoRgp9gqdqSpzo,Afreen Palace Hotel,"Munsi Sadaruddin St, Raja Katra, Jorasanko, Kolkata, West Bengal 700007, India"
kol064,ChIJtwfhtbN3AjoR81_mq4z5-pU,Hotel White House,"143, Mahatma Gandhi Rd, Block C, Bara Bazar, Jorasanko, Kolkata, West Bengal 700007, India"
kol065,ChIJzxbMOQR3AjoRhRlMO71tkGQ,Hotel Presidency Inn (3 Star Hotel),"2/1, Marquis St, opposite Jamuna Banquet, Colootola, New Market Area, Dharmatala, Taltala, Kolkata, West Bengal 700016, India"
kol066,ChIJubFbp_t3AjoRQW3q1uJsheY,Hotel Relax,"15, Shyama Charan Dey Street, College St, College Street Bata, College Row, College Street, Kolkata, West Bengal 700073, India"
kol067,ChIJ465T9nd3AjoRKCyNOAv7RzY,The Lake Hotel,"38 3A Gariahat Road, Road, opposite to AMRI Hospital, Dhakuria, South End Park, Keyatala, Kolkata, West Bengal 700068, India"
kol068,ChIJk64-qPx3AjoRysBaapa70lg,Aauris Hotel Kolkata - A Unit of Modern Inns Pvt.Ltd.,"4, Robinson St, Mullick Bazar, Park Street area, Kolkata, West Bengal 700017, India"
kol069,ChIJSV_ZCZ53AjoRsQ7NSavbLHU,Hotel Majestic International,"11, 1, Rafi Ahmed Kidwai Rd, near Hotel Majestic International, Janbazar, Taltala, Kolkata, West Bengal 700016, India"
kol070,ChIJtdkik8h3AjoR3VjdKFivdjA,"Park Central, Kolkata","163 Ustad Enenat Khan Road, Park St, Mullick Bazar, Crossing, Kolkata, West Bengal 700017, India"
kol071,ChIJ3x4JKFd2AjoR6VkwMxqNkMw,Tower Hotel,"Acharya Prafulla Chandra Rd, Vidyapati Setu, Sealdah, Raja Bazar, Kolkata, West Bengal 700009, India"
kol072,ChIJpzKFi6h3AjoRTa2uqozOoP8,Central Guest House,"13A, Chittaranjan Ave, Esplanade, Chandni Chawk, Bow Barracks, Kolkata, West Bengal 700001, India"
kol073,ChIJoTsA0QB3AjoRFjkY-k5sSnQ,Hotel Samrat (esplanade),"140, SN Banerjee Road, Esplanade, Dharmatala, Taltala, Kolkata, West Bengal 700013, India"
kol074,ChIJ7a_RLa13AjoRfLrR7VD3ti0,Hotel Cecil,"52/1/1, College St, Lalbajar, Bowbazar, Kolkata, West Bengal 700073, India"
kol075,ChIJA6gxKU12AjoR-V-QB4P90KM,Hotel O Hamza International,"4/1A, Sambhu Chatterjee St, near St, College Street Market, College Street, Kolkata, West Bengal 700007, India"
kol076,ChIJA-Q1yph3AjoRntQFL56KZ5c,Polo Floatel - Kolkata,"Kolkata Jetty 9, 10, Strand Rd, B.B.D. Bagh, Kolkata, West Bengal 700001, India"
kol077,ChIJf0zuoql3AjoRHgeFLPehmN8,"Treebo Orion Sapphire, Kolkata","2, W Range, near Tata Motor lexus Showroom, Beck Bagan, Elgin, Kolkata, West Bengal 700017, India"
kol078,ChIJGe04cJJ3AjoRPuAwlAYtyLw,Hotel Diamond Plaza Bowbazar,"5, Gopi Bose Ln, Bowbazar, Kolkata, West Bengal 700012, India"
kol079,ChIJlU5krgZ3AjoR8OFB0ezOqOA,Green Inn Banquet & rooms,"17, Rafi Ahmed Kidwai Road, Park Street, Esplanade, Near:, Taltala, Kolkata, West Bengal 700013, India"
kol080,ChIJ7SAtlTt3AjoRfClCl1Gek-U,Hotel 16 Avenue,"Ganpati Tower, 196 B, Chittaranjan Ave, near Ram Mandir, Simla, Machuabazar, Kolkata, West Bengal 700007, India"
kol081,ChIJl-oxvQV3AjoRqKyBtES25KU,Dear Hotel,"52, Free School St, Esplanade, Taltala, Kolkata, West Bengal 700016, India"
kol082,ChIJE101VCRxAjoRtmWznVpX8PU,Flagship Hotel Royal Palace Kolkata,"101, Rajdanga Main Road, Block Ef, Sector E, East Kolkata Twp, Kolkata, West Bengal 700107, India"
