hotel_id,place_id,display_name,formatted_address
ahm069,ChIJVVWhHsSFXjkRXKFWl2FAZoA,Hotel Pleasant Lake,"Rambaug Kankariya Rd, opposite Gopikrishna Complex, Kankaria, Maninagar, Ahmedabad, Gujarat 380028, India"
ahm070,ChIJRazSQfWEXjkRWLGg5f3I8rA,Super Inn Armoise Hotel,"Swastik Cross Rd, near Chimanlal Girdharlal Road, opp. SARDAR PATEL STADIUM, Navarangpura Gam, Navrangpura, Ahmedabad, Gujarat 380009, India"
ahm071,ChIJIwvzzpOFXjkR8fjWyO06HZ8,Hotel Lake Point,"Kankaria Lake Gate. 5, opp. Balvatika, Kankaria, Maninagar, Ahmedabad, Gujarat 380008, India"
ahm072,ChIJJZjFGoOBXjkRe5D-QoqUIBI,Tribecca Select,"Shree Balaji Agora Mall Rd, Sughad, Ahmedabad, Gujarat 382421, India"
ahm073,ChIJBTkq2kiEXjkROymfDDQSxY0,HOTEL AHMEDABAD INN,"Karnavati Arcade, 4, Relief Rd, Old City, Gheekanta, Bhadra, Ahmedabad, Gujarat 380001, India"
ahm074,ChIJ_____wKFXjkRQNaM_qoy-vc,Hotel Radiant,"Paldi cross road, Paldi Rd, opposite Amts Bus Stop, opposite Adani CNG PUMP, Paldi Gaam, Paldi, Ahmedabad, Gujarat 380007, India"
ahm075,ChIJ87AHpjaFXjkR1U9oCHOn06k,Hotel Surya Villas by Srurban Hotels Pvt Ltd,"3rd Floor, Sanskar Complex, Metro Station, Drive In Rd, near Commerce Six Road, Roop Nagar, Sarvottam Nagar Society, Navrangpura, Ahmedabad, Gujarat 380009, India"
ahm076,ChIJ6yekCsmDXjkRcpa4A0pYhuI,APRICOT HOTEL,"GRAND EMPORIO, Motera, Ahmedabad, Gujarat 380005, India"
ahm077,ChIJR1DRdbGDXjkRevjZ7Ok8rNg,Hotel Fun Regency,"2nd Floor, S-Mall, Narendra Modi Stadium Road, near H.P. Petrol Pump, Motera, Ahmedabad, Gujarat 380005, India"
ahm078,ChIJ____P8qFXjkR21f3FhqxX6o,Hotel Neelkanth Palace,"Opposite Avkar Guest House, Near S T Bus St, Geeta mandir, Kankaria, Ahmedabad, Gujarat 380022, India"
ahm079,ChIJ1dBB4VaEXjkRY5UDNo3vOqI,Hotel Rudra Mahal,"Capital Commercial Center, Ashram Rd, near Sanyas Ashram, opp. LIC Office, Ellisbridge, Ahmedabad, Gujarat 380009, India"
ahm080,ChIJVVVVpVGEXjkR6JMuIgeY2CA,The House of MG,"Bhadra Rd, Opp. Sidi, Old City, Gheekanta, Lal Darwaja, Ahmedabad, Gujarat 380001, India"
