hotel_name,hotel_id,rating,rating_description,review_count,star_rating,location,nearest_landmark,Distance_to_Landmark(in_km),price_per_night,tax,city,state,price_range,latitude,longitude,hotel_type,room_types,data_quality_score,star_rating_clean,has_coordinates,amenity_free_wifi,amenity_air_conditioning,amenity_24_7_front_desk,amenity_spa,amenity_pool,amenity_gym,amenity_restaurant,amenity_room_service,amenity_business_center,amenity_meeting_rooms,amenity_bar,amenity_swimming_pool,amenity_parking,amenity_travel_desk,amenity_airport_shuttle,amenity_conference_hall,amenity_valet_parking,total_amenities_count
"Taj M G Road, Bengaluru",3729,4.6,Excellent,1715.0,5.0,Sivanchetti Gardens ,MG Road,2.9,9000.0,692.5,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Draper Startup House Koramangala | Dorms & Rooms,231,4.4,Excellent,222.0,-1.0,Koramangala,Unknown,-1.0,1113.0,294.0,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Lalit Ashok Bangalore,3342,3.8,Very Good,2542.0,5.0,Seshadripuram,Unknown,-1.0,6698.0,1354.0,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vivanta Bengaluru, Residency Road",70,4.3,Excellent,1022.0,5.0,Residency Road ,MG Road,1.5,7000.0,692.5,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ibis Bengaluru Hebbal - An Accor Brand,292,4.1,Very Good,237.0,4.0,Hebbal,Unknown,-1.0,4499.0,692.5,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vividus,927,4.2,Very Good,1791.0,5.0,Gandhi Nagar,Unknown,-1.0,6547.0,2156.0,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Citrus Hotel Cunningham,2442,4.1,Very Good,1869.0,5.0,Cunningham Road ,Indira Gandhi Musical Fountain Park,0.78,3934.0,1075.0,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Citrus Classic Bengaluru,24,3.9,Very Good,527.0,4.0,Outer Ring Road,Unknown,-1.0,3575.0,977.0,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Taj Yeshwantpur, Bengaluru",2324,4.6,Excellent,2138.0,5.0,Tumkur road,Unknown,-1.0,7500.0,692.5,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lemon Tree Hotel Whitefield,2706,4.1,Very Good,2327.0,4.0,Brookefield,Unknown,-1.0,2347.0,843.0,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Golden Lotus Bangalore Boutique Suites | Rooms & Garden
Like a 3",4102,3.8,Very Good,865.0,-1.0,Richmond road ,MG Road,3.0,2660.0,754.0,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramada Encore,3766,4.4,Excellent,4271.0,4.0,Domlur Layout,Unknown,-1.0,5640.0,1140.0,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ibis Bengaluru Hosur Road - An Accor Brand,1346,3.9,Very Good,1381.0,3.0,Hosur road,Unknown,-1.0,4499.0,692.5,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The Oberoi, Bengaluru",3292,4.7,Excellent,1565.0,5.0,Ulsoor,Unknown,-1.0,11500.0,692.5,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
